date,end_date,Aceh,Sumatera Utara,Sumatera Barat,Riau,Jambi,Sumatera Selatan,Bengkulu,Lampung,Bangka Belitung,Kepulauan Riau,Dki Jakarta,Jawa Barat,Jawa Tengah,Daerah Istimewa Yogyakarta,Jawa Timur,Banten,Bali,Nusa Tenggara Barat,Nusa Tenggara Timur,Kalimantan Barat,Kalimantan Tengah,Kalimantan Selatan,Kalimantan Timur,Kalimantan Utara,Sulawesi Utara,Sulawesi Tengah,Sulawesi Selatan,Sulawesi Tenggara,Gorontalo,Sulawesi Barat,Maluku,Maluku Utara,Papua Barat,Papua
13-Oct-2020,14-Oct-2020,5,5,2,1,5,5,5,5,5,1,1,1,1,2,1,1,1,1,1,5,1,1,1,5,1,2,2,1,5,1,2,1,2,5
14-Oct-2020,15-Oct-2020,1,5,2,1,5,5,5,5,5,1,1,2,1,2,1,1,1,1,1,5,1,1,1,5,1,2,1,1,5,1,2,2,2,5
15-Oct-2020,16-Oct-2020,1,5,2,1,5,5,5,5,5,1,1,2,1,1,1,1,1,1,1,5,1,1,1,5,1,2,1,1,5,2,2,1,2,5
16-Oct-2020,17-Oct-2020,1,5,2,1,5,5,5,5,5,1,1,2,1,2,1,1,1,1,1,5,1,1,1,5,1,2,1,1,5,2,2,2,2,5
17-Oct-2020,18-Oct-2020,1,5,2,1,5,5,5,5,5,1,1,2,1,1,1,1,1,1,1,5,1,1,1,5,1,2,1,1,5,2,2,1,2,5
18-Oct-2020,19-Oct-2020,2,5,2,1,5,5,5,5,5,1,1,2,1,1,1,1,1,1,1,5,1,1,1,5,1,2,1,1,5,2,2,2,2,5
19-Oct-2020,20-Oct-2020,1,5,2,1,5,5,5,5,5,1,1,2,1,2,1,1,1,1,1,5,1,1,1,5,1,2,1,1,5,1,2,1,2,5
20-Oct-2020,21-Oct-2020,1,5,2,1,5,5,5,5,5,1,1,2,1,2,1,1,1,1,1,5,1,1,1,5,1,2,1,1,5,2,2,1,2,5
21-Oct-2020,22-Oct-2020,1,5,3,1,5,5,5,5,5,1,1,2,1,2,1,1,1,2,1,5,1,1,1,5,2,2,1,2,5,1,2,1,2,5
22-Oct-2020,23-Oct-2020,1,5,1,1,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1,1,5,1,1,1,1,5
23-Oct-2020,24-Oct-2020,1,5,1,1,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1,1,5,2,1,1,1,5
24-Oct-2020,25-Oct-2020,1,5,1,1,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1,1,5,1,1,1,1,5
